Lodz,Poland,51.7592,19.4550,18,60,20,30,2,1012
Gdansk,Poland,54.3520,18.6466,22,70,85,60,8,1008
Warsaw,Poland,52.2297,21.0122,25,55,15,10,1,1015
Krakow,Poland,50.0647,19.9450,30,40,10,5,0,1018
Berlin,Germany,52.5200,13.4050,20,65,40,50,5,1005
Paris,France,48.8566,2.3522,28,50,20,20,2,1013
Madrid,Spain,40.4168,-3.7038,42,20,10,0,0,1005
Rome,Italy,41.9028,12.4964,35,45,15,10,1,1010
Venice,Italy,45.4408,12.3155,18,90,35,95,40,1001
Oslo,Norway,59.9139,10.7522,-12,80,65,30,5,995
Stockholm,Sweden,59.3293,18.0686,-5,75,55,40,3,1002
Helsinki,Finland,60.1699,24.9384,-15,85,60,50,6,990
Tallinn,Estonia,59.4370,24.7536,-8,70,50,20,2,1005
London,UK,51.5074,-0.1278,17,80,30,60,4,1009
Dublin,Ireland,53.3498,-6.2603,16,85,45,70,6,1007
New York,USA,40.7128,-74.0060,33,60,25,30,3,1012
Chicago,USA,41.8781,-87.6298,10,55,80,50,10,1000
Miami,USA,25.7617,-80.1918,31,85,20,90,15,1008
Los Angeles,USA,34.0522,-118.2437,27,40,10,0,0,1015
Tokyo,Japan,35.6762,139.6503,29,70,30,60,7,1006
Seoul,South Korea,37.5665,126.9780,26,65,25,40,5,1010
Beijing,China,39.9042,116.4074,35,50,15,20,2,1012
Delhi,India,28.7041,77.1025,45,30,10,5,0,1002
Bangkok,Thailand,13.7563,100.5018,34,80,20,85,12,1005
Sydney,Australia,-33.8688,151.2093,22,60,35,40,6,1011
Melbourne,Australia,-37.8136,144.9631,18,55,50,30,4,1009
Cape Town,South Africa,-33.9249,18.4241,20,65,45,50,5,1007
Cairo,Egypt,30.0444,31.2357,40,20,15,0,0,1013
Rio de Janeiro,Brazil,-22.9068,-43.1729,32,75,25,70,10,1006
Mexico City,Mexico,19.4326,-99.1332,24,60,20,40,3,1010
